,,Location,
FENTANYL (PF) 10 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS (PCA UNRESTRICTED DOSING),VAULT,,
FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.0625 %-NACL INJECTION SOLUTION,VAULT,,
FENTANYL (PF) 25 MCG/ML IN 0.9 % SODIUM CHLORIDE INJECTION,VAULT,,
FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION,VAULT,VLT,Vault
FENTANYL 100 MCG/HR TRANSDERMAL PATCH,VAULT,,
FENTANYL 12 MCG/HR TRANSDERMAL PATCH,VAULT,,
FENTANYL 25 MCG/HR TRANSDERMAL PATCH,VAULT,,
FENTANYL 50 MCG/HR TRANSDERMAL PATCH,VAULT,,
FENTANYL PATCH REMOVAL,VAULT,,
FENTANYL-BUPIVACAINE-NACL (PF) 5 MCG/ML-0.1% EPIDURAL SOLUTION,VAULT,,
FENTANYL-BUPIVACAINE-NACL (PF) 5 MCG/ML-0.1% EPIDURAL SOLUTION (ANESTHESIA),VAULT,,
FERRIC CARBOXYMALTOSE 750 MG IN 100 ML NS 0.9 % IVPB PYXIS MINIBAG,STR,,
FERRIC GLUCONATE IVPB,STR,,
FERRIC GLUCONATE IVPB (400036),STR,,
FERRIC SUBSULFATE 0.2 GRAM TO 0.22 GRAM/ML TOPICAL SOLN AND APPLICATOR,STR,,
FERROUS GLUCONATE 324 MG (37.5 MG IRON) TABLET,STR,,
FERROUS GLUCONATE 324 MG (38 MG IRON) TABLET,STR,,
FERROUS SULFATE 300 MG (60 MG IRON)/5 ML ORAL LIQUID,PHRM,,
FERROUS SULFATE 325 MG (65 MG IRON) TABLET,PHRM,,
FERUMOXYTOL 510 MG IN NS 0.9 % 50 ML IVPB PYXIS MINIBAG,STR,,
FERUMOXYTOL IVPB,STR,,
FEZOLINETANT 45 MG TABLET,STR,,
FILGRASTIM 300 MCG/ML INJECTION SOLUTION,STR,,
FILGRASTIM-SNDZ 300 MCG/0.5 ML INJECTION SYRINGE,STR,,
FILGRASTIM-SNDZ 480 MCG/0.8 ML INJECTION SYRINGE,STR,,
FINASTERIDE 1 MG TABLET,STR,,
FINASTERIDE 5 MG TABLET,PHRM,,
"FISH OIL-DHA-EPA 1,200 MG-144 MG-216 MG CAPSULE",STR,,
FLECAINIDE 100 MG TABLET,STR,,
FLECAINIDE 50 MG TABLET,STR,,
FLU VACCINE TS 2024-25 (6MOS UP)(PF) 45MCG(15 MCGX3)/0.5 ML IM SYRINGE,PHRM,FR,
FLU VACCINE TS 2024-25(FLUZONE HIGH-DOSE (65YR UP) / FLUAD) IM SYRINGE,PHRM,,
FLUCONAZOLE 100 MG TABLET,STR,,
FLUCONAZOLE 150 MG TABLET,STR,,
FLUCONAZOLE 200 MG TABLET,PHRM,,
FLUCONAZOLE 200 MG/100 ML IN SOD. CHLORIDE (ISO) INTRAVENOUS PIGGYBACK,STR,,
FLUCONAZOLE 2MG/ML PREMIX SYRINGE,STR,,
FLUCONAZOLE 400 MG/200 ML IN SOD. CHLORIDE(ISO) INTRAVENOUS PIGGYBACK,STR,,
FLUCONAZOLE 50 MG TABLET,STR,,
FLUCONAZOLE IN SODIUM CHLORIDE (ISO-OSM) 800 MG/400 ML,STR,,
FLUCYTOSINE 500 MG CAPSULE,STR,,
FLUDEOXYGLUCOSE F-18 20 MCI TO 200 MCI/ML INTRAVENOUS SOLUTION,STR,,
FLUDEOXYGLUCOSE F-18 20 MCI TO 300 MCI/ML INTRAVENOUS SOLUTION,STR,,
FLUDROCORTISONE 0.1 MG TABLET,PHRM,,
FLUMAZENIL 0.1 MG/ML INTRAVENOUS SOLUTION,STR,,
FLUOCINONIDE 0.05 % TOPICAL CREAM,STR,,
FLUOCINONIDE 0.05 % TOPICAL OINTMENT,STR,,
FLUORESCEIN 0.3 %-BENOXINATE 0.4 % EYE DROPS,STR,,
FLUORESCEIN 1 MG EYE STRIPS,STR,,
FLUORESCEIN 500 MG/5 ML (10 %) INTRAVENOUS SOLUTION,STR,,
FLUOROURACIL HOME INFUSION,STR,,
FLUOROURACIL INFUSION,STR,,
FLUOXETINE 10 MG CAPSULE,STR,,
FLUOXETINE 20 MG CAPSULE,PHRM,,
FLUOXETINE 40 MG CAPSULE,STR,,
FLUPHENAZINE 1 MG TABLET,STR,,
FLUPHENAZINE 10 MG TABLET,STR,,
FLUPHENAZINE 2.5 MG TABLET,STR,,
FLUPHENAZINE 2.5 MG/ML INJECTION SOLUTION,STR,,
FLUPHENAZINE 5 MG TABLET,STR,,
FLUPHENAZINE 5 MG/ML ORAL CONCENTRATE,STR,,
FLUPHENAZINE DECANOATE 25 MG/ML INJECTION SOLUTION,STR,,
FLUTICASONE 500 MCG-SALMETEROL 50 MCG/DOSE BLISTR POWDR FOR INHALATION,VIT,,
FLUTICASONE FUR. 100 MCG-UMECLID 62.5 MCG-VILANT 25 MCG INHALAT.POWDER,STR,,
FLUTICASONE FUR. 200 MCG-UMECLID 62.5 MCG-VILANT 25 MCG INHALAT.POWDER,STR,,
FLUTICASONE FUROATE 100 MCG-VILANTEROL 25 MCG/DOSE INHALATION POWDER,STR,,
FLUTICASONE FUROATE 200 MCG-VILANTEROL 25 MCG/DOSE INHALATION POWDER,STR,,
FLUTICASONE PROPIONATE 110 MCG/ACTUATION HFA AEROSOL INHALER,VIT,,
"FLUTICASONE PROPIONATE 50 MCG/ACTUATION NASAL SPRAY,SUSPENSION",VIT,,
FLUVOXAMINE 100 MG TABLET,STR,,
FLUVOXAMINE 25 MG TABLET,STR,,
FLUVOXAMINE 50 MG TABLET,STR,,
FOLIC ACID 1 MG TABLET,STR,,
FOLIC ACID 5 MG/ML INJECTION SOLUTION,VIT,,
FOLIC ACID 800 MCG TABLET,VIT,,
FONDAPARINUX 2.5 MG/0.5 ML SUBCUTANEOUS SOLUTION SYRINGE,STR,,
FONDAPARINUX 7.5 MG/0.6 ML SUBCUTANEOUS SOLUTION SYRINGE,STR,,
FORMOTEROL (PERFOROMIST) 20 mcg/2 mL INHALATION,PHRM,,
FORMOTEROL FUMARATE 20 MCG/2 ML SOLUTION FOR NEBULIZATION,PHRM,FRIG,
FOSAPREPITANT 150 MG IN NS 150 ML PYXIS MINIBAG,STR,,
FOSAPREPITANT 150/DEX 12 COMBO,STR,,
FOSAPREPITANT IVPB,STR,,
FOSFOMYCIN TROMETHAMINE 3 GRAM ORAL PACKET,STR,,
FOSPHENYTOIN IVPB,STR,,
FOSPHENYTOIN IVPB LOADING DOSE,STR,,
FOSPHENYTOIN IVPB SLW,STR,,
"FOSTEMSAVIR ER 600 MG TABLET,EXTENDED RELEASE,12 HR",STR,,
FUROSEMIDE 40 MG/4 ML (10 MG/ML) VIAL,STR,,
FUROSEMIDE 20 MG/2 ML (10 MG/ML) VIAL, STR,, 
FUROSEMIDE 20 MG/2 ML (10 MG/ML) VIAL,STR,,
FUROSEMIDE 20 MG TABLET,PHRM,,
FUROSEMIDE 40 MG TABLET,PHRM,,
FUROSEMIDE INFUSION,STR,,
FUROSEMIDE IVPB - MIN DOSE >120 MG,STR,,
GABAPENTIN 100 MG CAPSULE,PHRM,FRIG,Pharmacy - BackLower 1alf - M section
GABAPENTIN 250 MG/5 ML ORAL SOLUTION,PHRM,FRIG,
GABAPENTIN 300 MG CAPSULE,PHRM,,
GABAPENTIN 300 MG/6 ML (6 ML) ORAL SOLUTION,PHRM,,
GABAPENTIN 400 MG CAPSULE,PHRM,,
GABAPENTIN 600 MG TABLET,PHRM,,
GABAPENTIN 800 MG TABLET,STR,,
GADOBUTROL 1 MMOL/ML (604.72 MG/ML) INTRAVENOUS SOLUTION,STR,,
GADOBUTROL 10 MMOL/10 ML (1 MMOL/ML) INTRAVENOUS SOLUTION,STR,,
GADOBUTROL 15 MMOL/15 ML (1 MMOL/ML) INTRAVENOUS SOLUTION,STR,,
GADOBUTROL 7.5 MMOL/7.5 ML (1 MMOL/ML) INTRAVENOUS SOLUTION,STR,,
GADOXETATE 0.25 MMOL/ML (181.43 MG/ML) INTRAVENOUS SOLUTION,STR,,
GALANTAMINE 4 MG TABLET,STR,,
GALLIUM-67 CITRATE 74 MBQ/ML (2 MCI/ML) INTRAVENOUS SOLUTION,STR,,
GEMCITABINE INFUSION,STR,,
GEMFIBROZIL 600 MG TABLET,STR,,
GENTAMICIN 40 MG/ML INJECTION SOLUTION,STR,,
GENTAMICIN 80 MG/50 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK,STR,,
GENTAMICIN ODA D5W 250 ML IVPB,STR,,
GENTAMICIN STANDARD DOSING D5W 100 ML IVPB,STR,,
GLIMEPIRIDE 1 MG TABLET,STR,,
GLIMEPIRIDE 2 MG TABLET,STR,,
GLIPIZIDE 10 MG TABLET,STR,,
GLIPIZIDE 5 MG TABLET,PHRM,,
"GLIPIZIDE ER 10 MG TABLET, EXTENDED RELEASE 24 HR",STR,,
"GLIPIZIDE ER 2.5 MG TABLET, EXTENDED RELEASE 24 HR",STR,,
"GLIPIZIDE ER 5 MG TABLET, EXTENDED RELEASE 24 HR",PHRM,,
GLUCAGON 1 MG/ML SOLUTION FOR INJECTION,STR,,
GLUCAGON 1 MG/ML SOLUTION FOR INJECTION WRAPPER,STR,,
GLUCAGON HCL 1 MG/ML SOLUTION FOR INJECTION,STR,,
GLUCOSE 4 GRAM CHEWABLE TABLET,STR,,
GLUTAMINE (SICKLE CELL) 5 GRAM ORAL POWDER PACKET,STR,,
GLYCERIN (ADULT) RECTAL SUPPOSITORY,STR,,
GLYCERIN (CHILD) RECTAL SUPPOSITORY,STR,,
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION,STR,,
GLYCOPYRROLATE 1 MG TABLET,STR,,
GLYCOPYRROLATE 2 MG TABLET,STR,,
GOLIMUMAB IVPB,STR,,
GUAIFENESIN 100 MG/5 ML ORAL LIQUID,PHRM,,
"GUAIFENESIN ER 600 MG TABLET, EXTENDED RELEASE 12 HR",STR,,
GUANFACINE 0.5 MG HALF TABLET,STR,,
GUANFACINE 1 MG TABLET,PHRM,,
GUANFACINE 2 MG TABLET,PHRM,,
"GUANFACINE ER 1 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
"GUANFACINE ER 2 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
"GUANFACINE ER 3 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
GUSELKUMAB INFUSION,STR,,
HALOPERIDOL 0.5 MG TABLET,PHRM,,
HALOPERIDOL 1 MG TABLET,PHRM,,
HALOPERIDOL 10 MG TABLET,STR,,
HALOPERIDOL 2 MG TABLET,STR,,
HALOPERIDOL 5 MG TABLET,STR,,
HALOPERIDOL DECANOATE 100 MG/ML INTRAMUSCULAR SOLUTION,STR,,
HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION,STR,,
HALOPERIDOL LACTATE 2 MG/ML ORAL CONCENTRATE,STR,,
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION,STR,,
"HEPARIN (PORCINE) (PF) 1,000 UNIT/500 ML IN 0.9 % SODIUM CHLORIDE IV",STR,,
"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION SOLUTION",STR,,
"HEPARIN (PORCINE) 10,000 UNIT/ML INJECTION SOLUTION",STR,,
HEPARIN (PORCINE) 25 000 UNIT/250 ML (100 UNIT/ML) IN DEXTROSE 5 % IV",IV,,,
"HEPARIN (PORCINE) 25,000 UNIT/250 ML IN 0.45 % SODIUM CHLORIDE IV SOLN",STR,,
"HEPARIN (PORCINE) 25,000 UNIT/250 ML NS 0.9 % IVPB",STR,,
"HEPARIN (PORCINE) 4,000 UNIT/1,000 ML (4 UNIT/ML) IN 0.9% NACL IV SOLN",STR,,
HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION SOLUTION",PHRM,PHRM,Pharmacy - Front/ Lower Half - H section
"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION SOLUTION (MIXTURE INGREDIENT)",PHRM,,
"HEPARIN 1,000 UNITS IN SODIUM CHLORIDE 0.9 % 10 ML FOR INTRAHEPATIC PUMP",IV,,
HEPARIN IN NS FOR INRAHEPTIC PUMP,STR,,
HEPARIN LOCK FLUSH (PORCINE) 100 UNIT/ML INTRAVENOUS SOLUTION,STR,,i'
HEPARIN IN D5W 25000 UNITS,IV,,
HEPARIN IN DEXTROSE 5% 25000 UNITS,IV,,
"HEPARIN, PORCINE (PF) 1,000 UNIT/ML INJECTION SOLUTION",STR,,
"HEPARIN, PORCINE (PF) 100 UNIT/ML INTRAVENOUS SYRINGE",STR,,
"HEPATITIS B IMMUNE GLOBULIN > 1,560 UNIT/5 ML INTRAMUSCULAR SOLUTION",PHRM,FRIG,
HEPATITIS B VACCINE 20 MCG/0.5 ML-ADJUVANT CPG 1018 (PF) IM SYRINGE,PHRM,FRIG,
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INTRAMUSCULAR SUSP,PHRM,FRIG,
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INTRAMUSCULAR SYRINGE,PHRM,FRIG,
"HUMAN PAPILLOMAVIRUS VACCINE,9-VALENT(PF) 0.5 ML INTRAMUSCULAR SYRINGE",PHRM,FRIG,
"HYALURONATE SODIUM, CROSS-LINKED 30 MG/3 ML INTRA-ARTICULAR SYRINGE",PHRM,,
HYDRALAZINE 10 MG TABLET,STR,,
HYDRALAZINE 100 MG TABLET,STR,,
HYDRALAZINE 20 MG/ML INJECTION SOLUTION,STR,,
HYDRALAZINE 25 MG TABLET,PHRM,,
HYDRALAZINE 50 MG TABLET,PHRM,,
HYDROCHLOROTHIAZIDE 12.5 MG CAPSULE,STR,,
HYDROCHLOROTHIAZIDE 12.5 MG TABLET,STR,,
HYDROCHLOROTHIAZIDE 25 MG TABLET,PHRM,,
HYDROCHLOROTHIAZIDE 50 MG TABLET,PHRM,,
HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML (5 ML) ORAL SOLUTION,VAULT,,
HYDROCORTISONE 1 % TOPICAL CREAM,STR,,
HYDROCORTISONE 1 % TOPICAL OINTMENT,STR,,
HYDROCORTISONE 10 MG TABLET,PHRM,,
HYDROCORTISONE 2.5 % TOPICAL CREAM,STR,,
HYDROCORTISONE 2.5 % TOPICAL OINTMENT,STR,,
HYDROCORTISONE 20 MG TABLET,STR,,
HYDROCORTISONE 5 MG TABLET,STR,,
HYDROCORTISONE ACETATE 25 MG RECTAL SUPPOSITORY,STR,,
HYDROCORTISONE IVPB,STR,,
HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLUTION FOR INJECTION,STR,,
HYDROCORTISONE SOD SUCCINATE (PF) 500 MG/4 ML SOLUTION FOR INJECTION,STR,,
HYDROGEN PEROXIDE 1.5 % RINSE,STR,,
HYDROGEN PEROXIDE 3 % SOLUTION,STR,,
HYDROMORPHONE (PF) 0.5 MG/0.5 ML INJECTION SYRINGE,VAULT,VLT,Vault
HYDROMORPHONE (PF) 10 MG/ML INJECTION SOLUTION,VAULT,,
HYDROMORPHONE 0.5 MG/0.5 ML INJECTION SYRINGE,VAULT,,
HYDROMORPHONE 1 MG HALF TABLET,VAULT,,
HYDROMORPHONE 1 MG/ML INJECTION SYRINGE,VAULT,,
HYDROMORPHONE 1 MG/ML ORAL LIQUID,VAULT,,
HYDROMORPHONE 2 MG TABLET,VAULT,,
HYDROMORPHONE 4 MG TABLET,VAULT,,
HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE (PALLIATIVE CARE DOSING),VAULT,,
HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE (PCA LOCKED DOSING),VAULT,,
HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE (PCA UNRESTRICTED DOSING),VAULT,,
HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE INJECTION,VAULT,,
HYDROXOCOBALAMIN 5 GRAM INTRAVENOUS SOLUTION,STR,,
HYDROXYCHLOROQUINE 200 MG TABLET,PHRM,,
HYDROXYUREA 500 MG CAPSULE,STR,,
HYDROXYZINE HCL 10 MG TABLET,STR,,
HYDROXYZINE HCL 25 MG TABLET,PHRM,,
HYDROXYZINE HCL 50 MG TABLET,STR,,
HYDROXYZINE HCL 50 MG/ML INTRAMUSCULAR SOLUTION,STR,,
HYLAN G-F 20  48 MG/6 ML INTRA-ARTICULAR SYRINGE,STR,,
IBRUTINIB 420 MG TABLET,STR,,
IBUPROFEN 100 MG/5 ML ORAL SUSPENSION,PHRM,,
IBUPROFEN 200 MG TABLET,STR,,
IBUPROFEN 400 MG TABLET,VIT,,
IBUPROFEN 600 MG TABLET,VIT,,
ICOSAPENT ETHYL 1 GRAM CAPSULE,STR,,
IDARUCIZUMAB 2.5 GRAM/50 ML INTRAVENOUS SOLUTION,STR,,
IMIPENEM-CILASTATIN 500 MG IN NS 100 ML PYXIS MINIBAG,STR,,
IMIPENEM-CILASTATIN 500 MG IVPB,PHRM,,
IMMUNE GLOB G (GAMMAGARD LIQUID) 10% INJECTION SOLN,STR,,
IMMUNE GLOB G (GAMUNEX-C / GAMMAKED) 10 GRAM/100 ML(10%) INJECTION SOLN,STR,,
IMMUNE GLOB G (GAMUNEX-C / GAMMAKED) 20 GRAM/200 ML(10%) INJECTION SOLN,STR,,
IMMUNE GLOB G (GAMUNEX-C / GAMMAKED) 40 GRAM/400 ML(10%) INJECTION SOLN,STR,,
IMMUNE GLOB G (GAMUNEX-C / GAMMAKED) 5 GRAM/50 ML(10 %) INJECTION SOLN,STR,,
IMMUNE GLOB G (OCTAGAM) 10% INTRAVENOUS SOLUTION,STR,,
IMMUNE GLOB G (OCTAGAM) 5% INTRAVENOUS SOLUTION,STR,,
INCLISIRAN 284 MG/1.5 ML SUBCUTANEOUS SYRINGE,STR,,
INDIGOTINDISULFONATE SODIUM 8 MG/ML (0.8 %) INJECTION SOLUTION,STR,,
INDIUM IN-111 OXYQUINOLINE 1 MCI/ML (37 MBQ/ML)(1 ML) INTRAVENOUS SOLN,STR,,
INDOCYANINE GREEN 25 MG SOLUTION FOR INJECTION,STR,,
INDOMETHACIN 100 MG RECTAL SUPPOSITORY,STR,,
INDOMETHACIN 25 MG CAPSULE,STR,,
INDOMETHACIN 50 MG CAPSULE,STR,,
INDOMETHACIN 50 MG RECTAL SUPPOSITORY,STR,,
INFLIXIMAB IVPB,STR,,
INFLIXIMAB IVPB ALTERNATIVE,STR,,
INFLIXIMAB-ABDA IVPB,STR,,
INFLIXIMAB-AXXQ IVPB,STR,,
INFLIXIMAB-DYYB IVPB,,,
INSULIN ASPAR PRT-INSULIN ASPART 100 UNIT/ML (70-30) SUBCUTANEOUS SOLN,PHRM,,
INSULIN ASPART U-100  100 UNIT/ML SUBCUTANEOUS SOLUTION,PHRM,,
INSULIN DETEMIR (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,PHRM,,
INSULIN GLARGINE (U-100) 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN,PHRM,,
INSULIN GLARGINE (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,PHRM,,
INSULIN LISPRO (HUMALOG) INSULIN PUMP ONLY *BASAL*,PHRM,,
INSULIN LISPRO (HUMALOG) INSULIN PUMP ONLY *BOLUS WITH MEALS*,PHRM,,
INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,PHRM,PHRM,Fridge -1
INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,PHRM,,
INSULIN REGULAR 100 UNITS IN 100 ML NS INFUSION,PHRM,,
INSULIN REGULAR INFUSION ICU,PHRM,,
INSULIN U-100 REGULAR HUMAN 100 UNIT/ML INJECTION SOLUTION,PHRM,,
IODINE STRONG (LUGOLS) 5 % ORAL SOLUTION,STR,,
IODIXANOL 270 MG IODINE/ML INTRAVENOUS SOLUTION,STR,,
IOHEXOL 180 MG IODINE/ML INTRATHECAL SOLUTION,STR,,
IOHEXOL 240 MG IODINE/ML INTRAVENOUS SOLUTION,STR,,
IOHEXOL 300 MG IODINE/ML INTRAVENOUS SOLUTION,STR,,
IOHEXOL 300 MG IODINE/ML ORAL SOLUTION,PHRM,,
IOHEXOL 350 MG IODINE/ML INTRAVENOUS SOLUTION,PHRM,,
IOPAMIDOL 300 MG IODINE/ML (61 %) INTRAVENOUS SOLUTION,STR,,
IOPAMIDOL 370 MG IODINE/ML (76 %) INTRAVENOUS SOLUTION,STR,,
IOPAMIDOL 61 % INTRAVENOUS SOLUTION INTRAOP SLW,STR,,
IOTHALAMATE MEGLUMINE 60 % INJECTION SOLUTION,STR,,
IPILIMUMAB INFUSION IN 150ML NS,STR,,
IPRATROPIUM 0.5 MG-ALBUTEROL 3 MG (2.5 MG BASE)/3 ML NEBULIZATION SOLN,PHRM,PHRM,Pharmacy - Front/ Lower Half - I section
IPRATROPIUM 20 MCG-ALBUTEROL 100 MCG/ACTUATION MIST FOR INHALATION,PHRM,,
IPRATROPIUM BROMIDE 0.02 % SOLUTION FOR INHALATION,PHRM,PHRM,Pharmacy - Front/ Lower Half - I section
IPRATROPIUM BROMIDE 17 MCG/ACTUATION HFA AEROSOL INHALER,PHRM,,
IPRATROPIUM BROMIDE 21 MCG (0.03 %) NASAL SPRAY,PHRM,,
IPRATROPIUM-ALBUTEROL (DUONEB) NEBULIZER LMA,PHRM,,
IRINOTECAN INFUSION,STR,,
IRON SUCROSE (VENOFER) 200 MG IN NS 100 ML PYXIS MINIBAG,STR,,
ISAVUCONAZONIUM SULFATE 186 MG CAPSULE,STR,,
ISONIAZID 300 MG TABLET,STR,,
ISOPROTERENOL 300 MCG/150 ML D5W IVPB,STR,,
ISOPROTERENOL INFUSION ADULT,STR,,
ISOSORBIDE DINITRATE 5 MG TABLET,STR,,
ISOSORBIDE DINITRATE 10 MG TABLET,PHRM,,
ISOSORBIDE DINITRATE 20 MG TABLET,PHRM,,
ISOSORBIDE DINITRATE 30 MG TABLET,STR,,
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
ITRACONAZOLE 100 MG CAPSULE,STR,,
IVABRADINE 5 MG TABLET,STR,,
IVABRADINE 7.5 MG TABLET,STR,,
IVERMECTIN 3 MG TABLET,STR,,
KCENTRA 2000 UNIT FIXED DOSE,STR,,
KCENTRA INJECTION,STR,,
KETAMINE 50 MG/5 ML (10 MG/ML) IN 0.9 % SODIUM CHLORIDE IV SYRINGE,VAULT,,
KETAMINE 50 MG/5 ML (10 MG/ML) IV SYRINGE,VAULT,,
KETAMINE 50 MG/ML INFUSION,VAULT,,
KETAMINE INFUSION,VAULT,,
KETAMINE INFUSION ANESTHESIA,VAULT,,
KETOCONAZOLE 2 % SHAMPOO,STR,,
KETOCONAZOLE 2 % TOPICAL CREAM,STR,,
KETOROLAC 0.5 % EYE DROPS,STR,,
KETOROLAC 15 MG/ML INJECTION SOLUTION,PHRM,,
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,PHRM,,
KIT FOR PREP TC-99M-MERTIATIDE (BETIATIDE) 1 MG INTRAVENOUS SOLUTION,STR,,
KIT FOR PREPARATION OF TC 99M-ALBUMIN 2.5 MG INTRAVENOUS SOLUTION,STR,,
KIT FOR PREPARATION OF TC 99M-PENTETIC ACID 20 MG IV SOLUTION,STR,,
KIT FOR PREPARATION OF TC 99M-PENTETIC ACID 20 MG IV SOLUTION (AEROSOL),STR,,
KIT FOR PREPARATION OF TC 99M-SODIUM THIOSULFATE 2 MG SOLUTION,STR,,
KIT FOR PREPARATION OF TC-99M-BICISATE 0.9 MG INTRAVENOUS SOLUTION,STR,,
KIT FOR PREPARATION OF TC-99M-EXAMETAZIME 0.5 MG INTRAVENOUS SOLUTION,STR,,
KIT FOR PREPARATION OF TC-99M-MEDRONATE SODIUM 25 MG IV SOLUTION,STR,,
KIT FOR PREPARATION OF TC-99M-SODIUM OXIDRONATE 3.15 MG IV SOLUTION,STR,,
KIT FOR TC 99M-LABELED RED BLOOD CELLS INTRAVENOUS SOLUTION,STR,,
KIT FOR THE PREPARATION OF TC-99M-MEBROFENIN 45 MG IV SOLUTION,STR,,
KIT PREPARATION OF TC 99M-SESTAMIBI COMBO NO.1 IV SOLUTION,STR,,
KIT PREPARATION OF TC-99M-SODIUM PYROPHOSPHATE 12 MG IV SOLUTION,STR,,
LABETALOL 100 MG TABLET,PHRM,,
LABETALOL 20 MG/4 ML (5 MG/ML) INTRAVENOUS SYRINGE,IV,,
LABETALOL 200 MG TABLET,PHRM,,
LABETALOL 300 MG TABLET,STR,,
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,STR,,
LABETALOL INFUSION ADULT SLW,STR,,
LACOSAMIDE 10 MG/ML ORAL SOLUTION,VAULT,,
LACOSAMIDE 100 MG TABLET,VAULT,,
LACOSAMIDE 150 MG TABLET,VAULT,,
LACOSAMIDE 200 MG/20 ML INTRAVENOUS SOLUTION,VAULT,,
LACOSAMIDE 50 MG TABLET,VAULT,,
LACOSAMIDE IVPB SLW,VAULT,,
LACTATED RINGERS INTRAVENOUS SOLUTION,STR,STR,
LACTATED RINGERS IV BOLUS,STR,,
"LACTOBACILLUS ACIDOPHILUS, BULGARICUS 100 MILLION CELL GRANULES PACKET",STR,,
LACTULOSE 10 GRAM/15 ML ORAL SOLUTION,STR,,
LACTULOSE 20 GRAM/30 ML ORAL SOLUTION,PHRM,,
LACTULOSE ENEMA,STR,,
LAMIVUDINE 10 MG/ML ORAL SOLUTION,STR,,
LAMIVUDINE 100 MG TABLET,VIT,,
LAMIVUDINE 150 MG TABLET,VIT,,
LAMOTRIGINE 100 MG TABLET,PHRM,,
LAMOTRIGINE 150 MG TABLET,STR,,
LAMOTRIGINE 25 MG TABLET,PHRM,,
"LAMOTRIGINE ER 100 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
LANREOTIDE 120 MG/0.5 ML SUBCUTANEOUS SYRINGE,STR,,
LATANOPROST 0.005 % EYE DROPS,STR,,
LEFLUNOMIDE 10 MG TABLET,STR,,
LEFLUNOMIDE 20 MG TABLET,STR,,
LEMBOREXANT 10 MG TABLET,STR,,
LENACAPAVIR 300 MG TABLET,STR,,
LENACAPAVIR 309 MG/ML SUBCUTANEOUS SOLUTION,STR,,
LETROZOLE 2.5 MG TABLET,STR,,
LEUCOVORIN CALCIUM 25 MG TABLET,STR,,
LEUCOVORIN CALCIUM 5 MG TABLET,STR,,
LEUCOVORIN IVPB,STR,,
LEUPROLIDE 11.25 MG (3 MONTH) INTRAMUSCULAR SYRINGE KIT,STR,,
LEUPROLIDE 22.5 MG (3 MONTH) INTRAMUSCULAR SYRINGE KIT,STR,,
LEUPROLIDE 22.5 MG (3 MONTH) SUBCUTANEOUS SYRINGE,STR,,
LEUPROLIDE 7.5 MG (1 MONTH) SUBCUTANEOUS SYRINGE,STR,,
LEUPROLIDE 7.5 MG INTRAMUSCULAR SYRINGE KIT,STR,,
LEVALBUTEROL 0.63 MG/3 ML SOLUTION FOR NEBULIZATION,VIT,,
LEVALBUTEROL 1.25 MG/3 ML SOLUTION FOR NEBULIZATION,VIT,,
LEVALBUTEROL HFA 45 MCG/ACTUATION AEROSOL INHALER,VIT,,
LEVETIRACETAM 100 MG/ML ORAL SOLUTION,PHRM,,
LEVETIRACETAM 250 MG TABLET,PHRM,,
LEVETIRACETAM 500 MG TABLET,PHRM,,
LEVETIRACETAM 500 MG/5 ML (5 ML) ORAL SOLUTION,STR,,
